"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\james\Desktop\Flutter\topup2p\lib\cloud\download-image.dart", "Dart", 25, 1, 7, 33
"c:\Users\james\Desktop\Flutter\topup2p\lib\cloud\firebase_auth.dart", "Dart", 11, 0, 3, 14
"c:\Users\james\Desktop\Flutter\topup2p\lib\cloud\firebase_options.dart", "Dart", 69, 12, 6, 87
"c:\Users\james\Desktop\Flutter\topup2p\lib\cloud\firestore.dart", "Dart", 300, 22, 24, 346
"c:\Users\james\Desktop\Flutter\topup2p\lib\main.dart", "Dart", 76, 9, 5, 90
"c:\Users\james\Desktop\Flutter\topup2p\lib\models\item_model.dart", "Dart", 26, 0, 6, 32
"c:\Users\james\Desktop\Flutter\topup2p\lib\models\payment_model.dart", "Dart", 40, 0, 5, 45
"c:\Users\james\Desktop\Flutter\topup2p\lib\models\user_model.dart", "Dart", 15, 2, 2, 19
"c:\Users\james\Desktop\Flutter\topup2p\lib\providers\favorites_provider.dart", "Dart", 29, 0, 8, 37
"c:\Users\james\Desktop\Flutter\topup2p\lib\providers\payment_provider.dart", "Dart", 58, 0, 8, 66
"c:\Users\james\Desktop\Flutter\topup2p\lib\providers\sell_items_provder.dart", "Dart", 32, 0, 8, 40
"c:\Users\james\Desktop\Flutter\topup2p\lib\providers\user_provider.dart", "Dart", 62, 1, 9, 72
"c:\Users\james\Desktop\Flutter\topup2p\lib\screens\chat.dart", "Dart", 384, 3, 14, 401
"c:\Users\james\Desktop\Flutter\topup2p\lib\screens\edit_profile.dart", "Dart", 323, 14, 11, 348
"c:\Users\james\Desktop\Flutter\topup2p\lib\screens\login.dart", "Dart", 258, 23, 9, 290
"c:\Users\james\Desktop\Flutter\topup2p\lib\screens\messages.dart", "Dart", 242, 3, 6, 251
"c:\Users\james\Desktop\Flutter\topup2p\lib\screens\profile.dart", "Dart", 266, 3, 10, 279
"c:\Users\james\Desktop\Flutter\topup2p\lib\screens\register.dart", "Dart", 289, 12, 18, 319
"c:\Users\james\Desktop\Flutter\topup2p\lib\screens\seller\add-item.dart", "Dart", 507, 15, 14, 536
"c:\Users\james\Desktop\Flutter\topup2p\lib\screens\seller\add-update_wallet.dart", "Dart", 441, 30, 8, 479
"c:\Users\james\Desktop\Flutter\topup2p\lib\screens\seller\seller_home.dart", "Dart", 341, 7, 13, 361
"c:\Users\james\Desktop\Flutter\topup2p\lib\screens\seller\seller_main.dart", "Dart", 175, 4, 11, 190
"c:\Users\james\Desktop\Flutter\topup2p\lib\screens\seller\wallets.dart", "Dart", 172, 1, 7, 180
"c:\Users\james\Desktop\Flutter\topup2p\lib\screens\user\favorites.dart", "Dart", 210, 9, 11, 230
"c:\Users\james\Desktop\Flutter\topup2p\lib\screens\user\seller.dart", "Dart", 266, 1, 4, 271
"c:\Users\james\Desktop\Flutter\topup2p\lib\screens\user\seller_register.dart", "Dart", 239, 6, 8, 253
"c:\Users\james\Desktop\Flutter\topup2p\lib\screens\user\user_home.dart", "Dart", 164, 6, 9, 179
"c:\Users\james\Desktop\Flutter\topup2p\lib\screens\user\user_main.dart", "Dart", 63, 5, 4, 72
"c:\Users\james\Desktop\Flutter\topup2p\lib\utilities\digit_input_formatter.dart", "Dart", 16, 0, 4, 20
"c:\Users\james\Desktop\Flutter\topup2p\lib\utilities\globals.dart", "Dart", 382, 0, 2, 384
"c:\Users\james\Desktop\Flutter\topup2p\lib\utilities\image_file_utils.dart", "Dart", 34, 0, 7, 41
"c:\Users\james\Desktop\Flutter\topup2p\lib\utilities\models_utils.dart", "Dart", 14, 0, 4, 18
"c:\Users\james\Desktop\Flutter\topup2p\lib\utilities\other_utils.dart", "Dart", 17, 8, 3, 28
"c:\Users\james\Desktop\Flutter\topup2p\lib\utilities\profile_image.dart", "Dart", 18, 0, 3, 21
"c:\Users\james\Desktop\Flutter\topup2p\lib\widgets\appbar\allwidgets.dart", "Dart", 5, 0, 0, 5
"c:\Users\james\Desktop\Flutter\topup2p\lib\widgets\appbar\appbar.dart", "Dart", 66, 0, 4, 70
"c:\Users\james\Desktop\Flutter\topup2p\lib\widgets\appbar\loginbutton.dart", "Dart", 32, 1, 3, 36
"c:\Users\james\Desktop\Flutter\topup2p\lib\widgets\appbar\logobutton.dart", "Dart", 23, 1, 2, 26
"c:\Users\james\Desktop\Flutter\topup2p\lib\widgets\appbar\messagebutton.dart", "Dart", 58, 0, 2, 60
"c:\Users\james\Desktop\Flutter\topup2p\lib\widgets\appbar\profilebutton.dart", "Dart", 23, 0, 3, 26
"c:\Users\james\Desktop\Flutter\topup2p\lib\widgets\appbar\searchbutton.dart", "Dart", 80, 0, 8, 88
"c:\Users\james\Desktop\Flutter\topup2p\lib\widgets\appbar\signoutbutton.dart", "Dart", 58, 0, 3, 61
"c:\Users\james\Desktop\Flutter\topup2p\lib\widgets\custom_divider.dart", "Dart", 28, 0, 2, 30
"c:\Users\james\Desktop\Flutter\topup2p\lib\widgets\favorite_icon.dart", "Dart", 63, 0, 6, 69
"c:\Users\james\Desktop\Flutter\topup2p\lib\widgets\favorite_placeholder.dart", "Dart", 12, 0, 2, 14
"c:\Users\james\Desktop\Flutter\topup2p\lib\widgets\headline6.dart", "Dart", 17, 2, 4, 23
"c:\Users\james\Desktop\Flutter\topup2p\lib\widgets\loading_screen.dart", "Dart", 60, 7, 12, 79
"Total", "-", 6089, 208, 322, 6619
